filename,N_gt,N_asr,M,S,I,D,wer,recall,precision,f1_score
common_voice_he_39771176,7,7,7,0,0,0,0,1,1,1
common_voice_he_41616557,11,11,11,0,0,0,0,1,1,1
common_voice_he_39771179,11,11,11,0,0,0,0,1,1,1
common_voice_he_39771197,21,21,21,0,0,0,0,1,1,1
common_voice_he_39771198,18,18,18,0,0,0,0,1,1,1
common_voice_he_39771200,11,11,11,0,0,0,0,1,1,1
common_voice_he_39753642,16,16,16,0,0,0,0,1,1,1
common_voice_he_39771206,9,9,9,0,0,0,0,1,1,1
common_voice_he_41616556,7,7,7,0,0,0,0,1,1,1
common_voice_he_39771209,6,6,6,0,0,0,0,1,1,1
common_voice_he_39771210,9,9,9,0,0,0,0,1,1,1
common_voice_he_39771230,19,19,19,0,0,0,0,1,1,1
common_voice_he_39771231,14,14,14,0,0,0,0,1,1,1
common_voice_he_39771232,8,8,8,0,0,0,0,1,1,1
common_voice_he_39771233,18,18,18,0,0,0,0,1,1,1
common_voice_he_39771234,12,12,12,0,0,0,0,1,1,1
common_voice_he_39771142,9,9,9,0,0,0,0,1,1,1
common_voice_he_39771141,9,9,9,0,0,0,0,1,1,1
common_voice_he_39771130,15,15,15,0,0,0,0,1,1,1
common_voice_he_39771129,9,9,9,0,0,0,0,1,1,1
common_voice_he_39753643,7,7,7,0,0,0,0,1,1,1
common_voice_he_39753649,11,11,11,0,0,0,0,1,1,1
common_voice_he_39753650,7,7,7,0,0,0,0,1,1,1
common_voice_he_39753499,16,16,16,0,0,0,0,1,1,1
common_voice_he_39753652,8,8,8,0,0,0,0,1,1,1
common_voice_he_39753653,14,14,14,0,0,0,0,1,1,1
common_voice_he_39753654,6,6,6,0,0,0,0,1,1,1
common_voice_he_39753655,9,9,9,0,0,0,0,1,1,1
common_voice_he_39753656,12,12,12,0,0,0,0,1,1,1
common_voice_he_39753657,10,10,10,0,0,0,0,1,1,1
common_voice_he_39753658,18,18,18,0,0,0,0,1,1,1
common_voice_he_39771109,10,10,10,0,0,0,0,1,1,1
common_voice_he_39771111,16,16,16,0,0,0,0,1,1,1
common_voice_he_39771113,8,8,8,0,0,0,0,1,1,1
common_voice_he_39771115,7,7,7,0,0,0,0,1,1,1
common_voice_he_39350850,7,7,7,0,0,0,0,1,1,1
common_voice_he_39771126,8,8,8,0,0,0,0,1,1,1
common_voice_he_39771127,13,13,13,0,0,0,0,1,1,1
common_voice_he_39771128,14,14,14,0,0,0,0,1,1,1
common_voice_he_39753500,7,7,7,0,0,0,0,1,1,1
common_voice_he_39753481,7,7,7,0,0,0,0,1,1,1
common_voice_he_39753498,8,8,8,0,0,0,0,1,1,1
common_voice_he_39753165,4,4,4,0,0,0,0,1,1,1
common_voice_he_39753133,8,8,8,0,0,0,0,1,1,1
common_voice_he_39753134,12,12,12,0,0,0,0,1,1,1
common_voice_he_39753135,14,14,14,0,0,0,0,1,1,1
common_voice_he_39753136,6,6,6,0,0,0,0,1,1,1
common_voice_he_39753149,8,8,8,0,0,0,0,1,1,1
common_voice_he_39753150,10,10,10,0,0,0,0,1,1,1
common_voice_he_39753151,8,8,8,0,0,0,0,1,1,1
common_voice_he_39753153,11,11,11,0,0,0,0,1,1,1
common_voice_he_39753154,12,12,12,0,0,0,0,1,1,1
common_voice_he_39753166,21,21,21,0,0,0,0,1,1,1
common_voice_he_39753209,7,7,7,0,0,0,0,1,1,1
common_voice_he_39753167,17,17,17,0,0,0,0,1,1,1
common_voice_he_39753168,16,16,16,0,0,0,0,1,1,1
common_voice_he_39753169,9,9,9,0,0,0,0,1,1,1
common_voice_he_39753184,11,11,11,0,0,0,0,1,1,1
common_voice_he_39753185,12,12,12,0,0,0,0,1,1,1
common_voice_he_39753186,18,18,18,0,0,0,0,1,1,1
common_voice_he_39753187,12,12,12,0,0,0,0,1,1,1
common_voice_he_39753188,7,7,7,0,0,0,0,1,1,1
common_voice_he_39753206,12,12,12,0,0,0,0,1,1,1
common_voice_he_39753131,12,12,12,0,0,0,0,1,1,1
common_voice_he_39753116,11,11,11,0,0,0,0,1,1,1
common_voice_he_39753115,8,8,8,0,0,0,0,1,1,1
common_voice_he_39753114,12,12,12,0,0,0,0,1,1,1
common_voice_he_38146703,5,5,5,0,0,0,0,1,1,1
common_voice_he_41066672,12,12,12,0,0,0,0,1,1,1
common_voice_he_41066670,8,8,8,0,0,0,0,1,1,1
common_voice_he_39844331,7,7,7,0,0,0,0,1,1,1
common_voice_he_40630795,8,8,8,0,0,0,0,1,1,1
common_voice_he_39844333,9,9,9,0,0,0,0,1,1,1
common_voice_he_39753056,9,9,9,0,0,0,0,1,1,1
common_voice_he_39753057,8,8,8,0,0,0,0,1,1,1
common_voice_he_39753058,17,17,17,0,0,0,0,1,1,1
common_voice_he_39753059,9,9,9,0,0,0,0,1,1,1
common_voice_he_39753067,11,11,11,0,0,0,0,1,1,1
common_voice_he_39753069,13,13,13,0,0,0,0,1,1,1
common_voice_he_39753070,10,10,10,0,0,0,0,1,1,1
common_voice_he_39753072,7,7,7,0,0,0,0,1,1,1
common_voice_he_39753082,12,12,12,0,0,0,0,1,1,1
common_voice_he_39753083,4,4,4,0,0,0,0,1,1,1
common_voice_he_39753089,15,15,15,0,0,0,0,1,1,1
common_voice_he_39753112,8,8,8,0,0,0,0,1,1,1
common_voice_he_39753113,11,11,11,0,0,0,0,1,1,1
common_voice_he_39753207,15,15,15,0,0,0,0,1,1,1
common_voice_he_39753210,8,8,8,0,0,0,0,1,1,1
common_voice_he_39753492,12,12,12,0,0,0,0,1,1,1
common_voice_he_39753471,7,7,7,0,0,0,0,1,1,1
common_voice_he_39753442,13,13,13,0,0,0,0,1,1,1
common_voice_he_39753458,11,11,11,0,0,0,0,1,1,1
common_voice_he_39753459,7,7,7,0,0,0,0,1,1,1
common_voice_he_39753460,9,9,9,0,0,0,0,1,1,1
common_voice_he_39753461,11,11,11,0,0,0,0,1,1,1
common_voice_he_39753462,13,13,13,0,0,0,0,1,1,1
common_voice_he_39753468,6,6,6,0,0,0,0,1,1,1
common_voice_he_39753469,9,9,9,0,0,0,0,1,1,1
common_voice_he_39753470,13,13,13,0,0,0,0,1,1,1
common_voice_he_39753472,7,7,7,0,0,0,0,1,1,1
common_voice_he_39753224,16,16,16,0,0,0,0,1,1,1
common_voice_he_39753478,6,6,6,0,0,0,0,1,1,1
common_voice_he_39753479,14,14,14,0,0,0,0,1,1,1
common_voice_he_39753480,13,13,13,0,0,0,0,1,1,1
common_voice_he_39771250,11,11,11,0,0,0,0,1,1,1
